HEAD,0.000,7.000,
f000001,7.000,13.640,"Good evening from Case Western Reserve University's Veale Center here in Cleveland, Ohio."
n000001,13.640,13.960,(SILENCE)
f000002,13.960,28.560,"I'm Gwen Ifill of ""The NewsHour"" and ""Washington Week"" on PBS, and I welcome you to the first and the only vice presidential debate between Vice President Dick Cheney, the Republican nominee, and Senator John Edwards, the Democratic nominee."
n000002,28.560,29.600,(SILENCE)
f000003,29.600,32.940,These debates are sponsored by the Commission on Presidential Debates.
f000004,32.940,39.920,"Tonight's will last 90 minutes, following detailed rules of engagement worked out by representatives of the candidates."
n000003,39.920,40.640,(SILENCE)
f000005,40.640,46.400,I have agreed to enforce the rules they have devised for themselves to the best of my ability.
n000004,46.400,46.920,(SILENCE)
f000006,46.920,53.720,"The questions tonight will be divided between foreign and domestic policy, but the specific topics were chosen by me."
n000005,53.720,54.280,(SILENCE)
f000007,54.280,56.760,The candidates have not been told what they are.
n000006,56.760,57.320,(SILENCE)
f000008,57.320,67.260,"The rules: For each question, there can be only a two- minute response, a 90-second rebuttal and, at my discretion, a discussion extension of one minute."
n000007,67.260,67.800,(SILENCE)
f000009,67.800,77.840,"A green light will come on when 30 seconds remain in any given answer, yellow at 15 seconds, red at five seconds, and then flashing red means time's up."
n000008,77.840,78.360,(SILENCE)
f000010,78.360,81.200,"There's also a back-up buzzer system, if needed."
n000009,81.200,82.080,(SILENCE)
f000011,82.080,84.720,Candidates may not direct questions to one another.
n000010,84.720,85.080,(SILENCE)
f000012,85.080,88.820,"There will be two-minute closing statements, but no opening statements."
n000011,88.820,89.480,(SILENCE)
f000013,89.480,94.520,"There is an audience here in the hall, but they have been instructed to remain silent throughout."
n000012,94.520,95.280,(SILENCE)
f000014,95.280,101.320,"The order of the first question was determined by the candidates in advance, and the first one goes to Vice President Cheney."
n000013,101.320,101.760,(SILENCE)
f000015,101.760,108.100,"Vice President Cheney, there have been new developments in Iraq, especially having to do with the administration's handling."
f000016,108.100,116.780,"Paul Bremer, the former head of the Coalition Provisional Authority, gave a speech in which he said that we have never had enough troops on the ground, or we've never had enough troops on the ground."
f000017,116.780,123.740,Donald Rumsfeld said he has not seen any hard evidence of a link between Al Qaida and Saddam Hussein.
f000018,123.740,133.760,Was this approved -- of a report that you requested that you received a week ago that showed there was no connection between Abu Musab al-Zarqawi and Saddam Hussein?
f000019,133.760,139.060,"Gwen, I want to thank you, and I want to thank the folks here at Case Western Reserve for hosting this tonight."
f000020,139.060,142.400,"It's a very important event, and they've done a superb job of putting it together."
f000021,142.400,148.240,It's important to look at all of our developments in Iraq within the broader context of the global war on terror.
f000022,148.240,166.240,"And, after 9/11, it became clear that we had to do several things to have a successful strategy to win the global war on terror, specifically that we had to go after the terrorists wherever we might find them, that we also had to go after state sponsors of terror, those who might provide sanctuary or safe harbor for terror."
f000023,166.240,180.840,"And we also then finally had to stand up democracies in their stead afterwards, because that was the only way to guarantee that these states would not again become safe harbors for terror or for the development of deadly weapons."
f000024,180.840,199.080,"Concern about Iraq specifically focused on the fact that Saddam Hussein had been, for years, listed on the state sponsor of terror, that they he had established relationships with Abu Nidal, who operated out of Baghdad; he paid $25,000 to the families of suicide bombers; and he had an established relationship with Al Qaida."
n000014,199.080,199.600,(SILENCE)
f000025,199.600,209.680,"Specifically, look at George Tenet, the CIA director's testimony before the Committee on Foreign Relations two years ago when he talked about a 10-year relationship."
f000026,209.680,221.880,The effort that we've mounted with respect to Iraq focused specifically on the possibility that this was the most likely nexus between the terrorists and weapons of mass destruction.
f000027,221.880,232.480,The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans.
f000028,232.480,235.100,What we did in Iraq was exactly the right thing to do.
f000029,235.100,239.440,"If I had it to recommend all over again, I would recommend exactly the same course of action."
f000030,239.440,244.840,"The world is far safer today because Saddam Hussein is in jail, his government is no longer in power."
n000015,244.840,245.480,(SILENCE)
f000031,245.480,247.200,And we did exactly the right thing.
f000032,247.200,249.680,"Senator Edwards, you have 90 seconds to respond."
f000033,249.680,249.940,Thank you.
f000034,249.940,252.020,"Thank you, Gwen, for moderating this debate."
f000035,252.020,256.840,Thank you to the folks of Case Western and all the people in Ohio for having us here.
n000016,256.840,257.880,(SILENCE)
f000036,257.880,262.260,"Mr. Vice President, you are still not being straight with the American people."
f000037,262.260,274.120,"I mean, the reality you and George Bush continue to tell people, first, that things are going well in Iraq -- the American people don't need us to explain this to them, they see it on their television every single day."
n000017,274.120,274.800,(SILENCE)
