HEAD,0.000,8.000,
f000001,8.000,11.500,"Good evening from Hofstra University in Hempstead, New York."
f000002,11.500,14.680,"I'm Candy Crowley from CNN's ""State of the Union."""
f000003,14.680,20.320,"We are here for the second presidential debate, a town hall, sponsored by the Commission on Presidential Debates."
n000001,20.320,20.800,(SILENCE)
f000004,20.800,25.000,The Gallup organization chose 82 uncommitted voters from the New York area.
f000005,25.000,27.420,Their questions will drive the night.
f000006,27.420,31.800,My goal is to give the conversation direction and to ensure questions get answered.
n000002,31.800,32.360,(SILENCE)
f000007,32.360,34.680,The questions are known to me and my team only.
f000008,34.680,37.520,"Neither the commission, nor the candidates have seen them."
n000003,37.520,38.040,(SILENCE)
f000009,38.040,40.380,I hope to get to as many questions as possible.
f000010,40.380,47.060,"And because I am the optimistic sort, I'm sure the candidates will oblige by keeping their answers concise and on point."
f000011,47.060,52.480,"Each candidate has as much as two minutes to respond to a common question, and there will be a two-minute follow-up."
n000004,52.480,52.920,(SILENCE)
f000012,52.920,58.840,The audience here in the hall has agreed to be polite and attentive -- no cheering or booing or outbursts of any sort.
n000005,58.840,59.320,(SILENCE)
f000013,59.320,65.560,We will set aside that agreement just this once to welcome President Barack Obama and Governor Mitt Romney.
f000014,65.560,98.180,"(APPLAUSE)  Gentlemen, thank you both for joining us here tonight."
f000015,98.180,103.060,"We have a lot of folks who've been waiting all day to talk to you, so I want to get right to it."
f000016,103.060,107.540,"Governor Romney, as you know, you won the coin toss, so the first question will go to you."
f000017,107.540,112.500,"And I want to turn to a first-time voter, Jeremy Epstein, who has a question for you."
f000018,112.500,123.600,"Mr. President, Governor Romney, as a 20-year-old college student, all I hear from professors, neighbors and others is that when I graduate, I will have little chance to get employment."
f000019,123.600,131.040,"What can you say to reassure me, but more importantly my parents, that I will be able to sufficiently support myself after I graduate?"
f000020,131.040,131.820,"Thank you, Jeremy."
f000021,131.820,138.700,"I appreciate your -- your question, and thank you for being here this evening and to all of those from Nassau County that have come, thank you for your time."
f000022,138.700,144.000,Thank you to Hofstra University and to Candy Crowley for organizing and leading this -- this event.
f000023,144.000,147.760,"Thank you, Mr. President, also for being part of this -- this debate."
n000006,147.760,148.200,(SILENCE)
f000024,148.200,152.080,Your question -- your question is one that's being asked by college kids all over this country.
n000007,152.080,152.760,(SILENCE)
f000025,152.760,158.920,"I was in Pennsylvania with someone who had just graduated -- this was in Philadelphia -- and she said, ""I've got my degree."
n000008,158.920,159.360,(SILENCE)
f000026,159.360,160.420,I can't find a job.
f000027,160.420,162.120,I've got three part- time jobs.
n000009,162.120,162.560,(SILENCE)
f000028,162.560,165.540,They're just barely enough to pay for my food and pay for an apartment.
f000029,165.540,167.800,"I can't begin to pay back my student loans."""
f000030,167.800,169.280,So what we have to do is two things.
f000031,169.280,172.460,We have to make sure that we make it easier for kids to afford college.
f000032,172.460,176.020,"And also make sure that when they get out of college, there's a job."
f000033,176.020,180.760,"When I was governor of Massachusetts, to get a high school degree, you had to pass an exam."
f000034,180.760,192.100,"If you graduated in the top quarter of your airlines, we gave you a John and Abigail Adams scholarship, four years tuition free in the college of your choice in Massachusetts, it's a public institution."
f000035,192.100,194.760,I want to make sure we keep our Pell grant program growing.
f000036,194.760,199.520,"We're also going to have our loan program, so that people are able to afford school."
n000010,199.520,200.000,(SILENCE)
f000037,200.000,203.160,But the key thing is to make sure you can get a job when you get out of school.
f000038,203.160,207.920,"And what's happened over the last four years has been very, very hard for America's young people."
f000039,207.920,209.600,I want you to be able to get a job.
n000011,209.600,210.040,(SILENCE)
f000040,210.040,212.760,I know what it takes to get this economy going.
f000041,212.760,218.420,"With half of college kids graduating this year without a college -- excuse me, without a job."
n000012,218.420,219.000,(SILENCE)
f000042,219.000,221.280,"And without a college level job, that's just unacceptable."
n000013,221.280,221.760,(SILENCE)
f000043,221.760,223.680,And likewise you've got more and more debt on your back.
n000014,223.680,224.160,(SILENCE)
f000044,224.160,225.920,So more debt and less jobs.
n000015,225.920,226.320,(SILENCE)
f000045,226.320,227.120,I'm going to change that.
n000016,227.120,227.560,(SILENCE)
f000046,227.560,229.840,I know what it takes to create good jobs again.
n000017,229.840,230.240,(SILENCE)
f000047,230.240,233.720,I know what it takes to make sure that you have the kind of opportunity you deserve.
n000018,233.720,234.320,(SILENCE)
f000048,234.320,238.000,"And kids across this country are going to recognize, we're bringing back an economy."
f000049,238.000,239.960,It's not going to be like the last four years.
n000019,239.960,240.360,(SILENCE)
f000050,240.360,244.560,"The middle-class has been crushed over the last four years, and jobs have been too scarce."
n000020,244.560,244.960,(SILENCE)
f000051,244.960,248.360,"I know what it takes to bring them back, and I'm going to do that, and make sure that when you graduate -- when do you graduate?"
f000052,248.360,248.800,2014.
n000021,248.800,250.200,(SILENCE)
f000053,250.200,251.000,2014.
f000054,251.000,254.240,"When you come out in 2014, I presume I'm going to be president."
f000055,254.240,255.680,I'm going to make sure you get a job.
f000056,255.680,256.520,Thanks Jeremy.
f000057,256.520,257.440,"Yeah, you bet."
n000022,257.440,257.840,(SILENCE)
f000058,257.840,259.020,Mr. President?
n000023,259.020,260.440,(SILENCE)
f000059,260.440,262.300,"Jeremy, first of all, your future is bright."
n000024,262.300,262.960,(SILENCE)
f000060,262.960,266.660,And the fact that you're making an investment in higher education is critical.
f000061,266.660,269.000,"Not just to you, but to the entire nation."
n000025,269.000,269.880,(SILENCE)
f000062,269.880,275.360,"Now, the most important thing we can do is to make sure that we are creating jobs in this country."
f000063,275.360,277.360,"But not just jobs, good paying jobs."
f000064,277.360,279.280,Ones that can support a family.
n000026,279.280,280.120,(SILENCE)
f000065,280.120,286.480,"And what I want to do, is build on the five million jobs that we've created over the last 30 months in the private sector alone."
n000027,286.480,287.200,(SILENCE)
f000066,287.200,291.120,And there are a bunch of things we can do to make sure your future is bright.
n000028,291.120,291.480,(SILENCE)
f000067,291.480,296.240,"Number one, I want to build manufacturing jobs in this country again."
n000029,296.240,297.280,(SILENCE)
f000068,297.280,300.960,Now when Governor Romney said we should let Detroit go bankrupt.
n000030,300.960,301.600,(SILENCE)
f000069,301.600,306.380,I said we're going to bet on American workers and the American auto industry and it's come surging back.
n000031,306.380,307.120,(SILENCE)
f000070,307.120,317.760,"I want to do that in industries, not just in Detroit, but all across the country and that means we change our tax code so we're giving incentives to companies that are investing here in the United States and creating jobs here."
n000032,317.760,318.360,(SILENCE)
f000071,318.360,324.080,It also means we're helping them and small businesses to export all around the world to new markets.
f000072,324.080,329.080,"Number two, we've got to make sure that we have the best education system in the world."
f000073,329.080,345.780,"And the fact that you're going to college is great, but I want everybody to get a great education and we've worked hard to make sure that student loans are available for folks like you, but I also want to make sure that community colleges are offering slots for workers to get retrained for the jobs that are out there right now and the jobs of the future."
n000033,345.780,346.600,(SILENCE)
f000074,346.600,349.320,"Number three, we've got to control our own energy."
n000034,349.320,350.400,(SILENCE)
f000075,350.400,361.400,"Now, not only oil and natural gas, which we've been investing in; but also, we've got to make sure we're building the energy source of the future, not just thinking about next year, but ten years from now, 20 years from now."
n000035,361.400,361.880,(SILENCE)
f000076,361.880,366.560,"That's why we've invested in solar and wind and biofuels, energy efficient cars."
n000036,366.560,367.040,(SILENCE)
f000077,367.040,369.640,"We've got to reduce our deficit, but we've got to do it in a balanced way."
n000037,369.640,370.200,(SILENCE)
f000078,370.200,374.780,Asking the wealthy to pay a little bit more along with cuts so that we can invest in education like yours.
n000038,374.780,375.360,(SILENCE)
f000079,375.360,382.180,"And let's take the money that we've been spending on war over the last decade to rebuild America, roads, bridges schools."
f000080,382.180,388.120,"We do those things, not only is your future going to be bright but America's future is going to bright as well."
f000081,388.120,396.160,Let me ask you for more immediate answer and begin with Mr. Romney just quickly what -- what can you do?
f000082,396.160,401.900,We're looking at a situation where 40 percent of the unemployed have been unemployed have been unemployed for six months or more.
f000083,401.900,404.440,They don't have the two years that Jeremy has.
n000039,404.440,404.880,(SILENCE)
f000084,404.880,410.080,What about those long term unemployed who need a job right now?
f000085,410.080,414.120,Well what you're seeing in this country is 23 million people struggling to find a job.
n000040,414.120,414.680,(SILENCE)
f000086,414.680,418.300,"And a lot of them, as you say, Candy, have been out of work for a long, long, long time."
f000087,418.300,424.320,The president's policies have been exercised over the last four years and they haven't put Americans back to work.
n000041,424.320,425.120,(SILENCE)
f000088,425.120,429.520,We have fewer people working today than we had when the president took office.
f000089,429.520,434.200,"If the -- the unemployment rate was 7.8 percent when he took office, it's 7.8 percent now."
n000042,434.200,435.080,(SILENCE)
f000090,435.080,441.760,"But if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be 10.7 percent."
f000091,441.760,444.880,We have not made the progress we need to make to put people back to work.
f000092,444.880,453.200,That's why I put out a five-point plan that gets America 12 million new jobs in four years and rising take-home pay.
f000093,453.200,455.720,It's going to help Jeremy get a job when he comes out of school.
n000043,455.720,456.040,(SILENCE)
f000094,456.040,459.080,It's going to help people across the country that are unemployed right now.
f000095,459.080,466.540,"And one thing that the president said, which I want to make sure that we understand, he said that I said we should take Detroit bankrupt."
f000096,466.540,467.260,And that's right.
f000097,467.260,475.580,My plan was to have the company go through bankruptcy like 7-Eleven did and Macy's and Condell (ph) Airlines and come out stronger.
f000098,475.580,478.920,"And I know he keeps saying, you want to take Detroit bankrupt."
f000099,478.920,480.860,"Well, the president took Detroit bankrupt."
n000044,480.860,481.400,(SILENCE)
f000100,481.400,482.560,You took General Motors bankrupt.
n000045,482.560,483.240,(SILENCE)
f000101,483.240,484.360,You took Chrysler bankrupt.
n000046,484.360,484.760,(SILENCE)
f000102,484.760,489.380,"So when you say that I wanted to take the auto industry bankrupt, you actually did."
n000047,489.380,490.000,(SILENCE)
f000103,490.000,498.180,"And I think it's important to know that that was a process that was necessary to get those companies back on their feet, so they could start hiring more people."
f000104,498.180,501.860,That was precisely what I recommended and ultimately what happened.
f000105,501.860,504.080,Let me give the president a chance.Go ahead.
f000106,504.080,506.840,"Candy, what Governor Romney said just isn't true."
n000048,506.840,508.120,(SILENCE)
f000107,508.120,513.400,He wanted to take them into bankruptcy without providing them any way to stay open.
n000049,513.400,514.640,(SILENCE)
f000108,514.640,516.040,And we would have lost a million jobs.
n000050,516.040,517.040,(SILENCE)
f000109,517.040,524.440,"And that -- don't take my word for it, take the executives at GM and Chrysler, some of whom are Republicans, may even support Governor Romney."
n000051,524.440,525.320,(SILENCE)
f000110,525.320,527.000,But they'll tell you his prescription wasn't going to work.
n000052,527.000,527.960,(SILENCE)
f000111,527.960,529.960,And Governor Romney's says he's got a five-point plan?
n000053,529.960,530.440,(SILENCE)
f000112,530.440,532.080,Governor Romney doesn't have a five-point plan.
f000113,532.080,534.260,He has a one-point plan.
f000114,534.260,538.960,And that plan is to make sure that folks at the top play by a different set of rules.
n000054,538.960,539.760,(SILENCE)
f000115,539.760,547.220,"That's been his philosophy in the private sector, that's been his philosophy as governor, that's been his philosophy as a presidential candidate."
f000116,547.220,552.120,You can make a lot of money and pay lower tax rates than somebody who makes a lot less.
n000055,552.120,552.760,(SILENCE)
f000117,552.760,555.640,You can ship jobs overseas and get tax breaks for it.
n000056,555.640,556.960,(SILENCE)
f000118,556.960,562.680,"You can invest in a company, bankrupt it, lay off the workers, strip away their pensions, and you still make money."
n000057,562.680,564.400,(SILENCE)
f000119,564.400,568.800,That's exactly the philosophy that we've seen in place for the last decade.
n000058,568.800,569.240,(SILENCE)
f000120,569.240,572.780,That's what's been squeezing middle class families.
f000121,572.780,576.520,And we have fought back for four years to get out of that mess.
n000059,576.520,577.000,(SILENCE)
f000122,577.000,582.440,The last thing we need to do is to go back to the very same policies that got us there.
f000123,582.440,585.000,"Mr. President, the next question is going to be for you here."
f000124,585.000,588.600,"And, Mr. Romney -- Governor Romney -- there'll be plenty of chances here to go on, but I want to..."
f000125,588.600,589.640,That -- that Detroit -- that Detroit answer...
f000126,589.640,590.380,We have all these folks.
f000127,590.380,591.120,... that Detroit answer...
f000128,591.120,591.520,I will let you absolutely...
f000129,591.520,593.460,"... and the rest of the answer, way off the mark."
f000130,593.460,596.880,OK. Will -- will -- you certainly will have lots of time here coming up.
f000131,596.880,602.400,"Because I want to move you on to something that's sort of connected to cars here, and -- and go over."
f000132,602.400,610.820,And we want to get a question from Phillip Tricolla.
n000060,610.820,612.160,(SILENCE)
f000133,612.160,620.820,"Your energy secretary, Steven Chu, has now been on record three times stating it's not policy of his department to help lower gas prices."
n000061,620.820,621.320,(SILENCE)
f000134,621.320,624.920,Do you agree with Secretary Chu that this is not the job of the Energy Department?
n000062,624.920,627.120,(SILENCE)
